barony_id,county_id,duchy_id,kingdom_id,empire_id,is_county_capital,capital_derivation,start_date,source
b_Amur_Dazhou,c_BAL_dazhou,d_BAL_hoewon,k_luzhen,e_andong,true,first_barony_in_county_block,867,CK3 00_landed_titles.txt
b_Amur_Mergen,c_SW_damoguo,d_SW_puyudao,k_shiwei,e_andong,true,first_barony_in_county_block,867,CK3 00_landed_titles.txt
b_Amur_Puyu,c_SW_puyuzhou,d_SW_puyudao,k_shiwei,e_andong,true,first_barony_in_county_block,867,CK3 00_landed_titles.txt
b_Amur_Suihua,c_SW_suihua,d_SW_sushenguo,k_shiwei,e_andong,true,first_barony_in_county_block,867,CK3 00_landed_titles.txt
b_Amur_Taizhou,c_LIAO_taizhou,d_LIAO_shangjing,k_khitan,e_andong,true,first_barony_in_county_block,867,CK3 00_landed_titles.txt
b_EMan_Anzhou,c_BAL_anbyeon,d_BAL_yeojintang,k_luzhen,e_andong,true,first_barony_in_county_block,867,CK3 00_landed_titles.txt
b_EMan_Dingzhou,c_BAL_jeongni,d_BAL_yeojintang,k_luzhen,e_andong,true,first_barony_in_county_block,867,CK3 00_landed_titles.txt
b_EMan_Huazhou,c_BAL_solbin,d_BAL_yeojintang,k_luzhen,e_andong,true,first_barony_in_county_block,867,CK3 00_landed_titles.txt
b_EMan_Huligai,c_BAL_huligai,d_BAL_cheolli,k_luzhen,e_andong,true,first_barony_in_county_block,867,CK3 00_landed_titles.txt
b_EMan_Jixi,c_BAL_jixi,d_BAL_dongpyeong,k_luzhen,e_andong,true,first_barony_in_county_block,867,CK3 00_landed_titles.txt
b_EMan_Ningzhou,c_BAL_ningzhou,d_BAL_anwon,k_luzhen,e_andong,true,first_barony_in_county_block,867,CK3 00_landed_titles.txt
b_EMan_Supin,c_BAL_supin,d_BAL_anwon,k_luzhen,e_andong,true,first_barony_in_county_block,867,CK3 00_landed_titles.txt
b_EMan_Yizhou,c_BAL_dongpyeong_yizhou,d_BAL_dongpyeong,k_luzhen,e_andong,true,first_barony_in_county_block,867,CK3 00_landed_titles.txt
b_EMan_Yongmingcheng,c_BAL_jeongni,d_BAL_yeojintang,k_luzhen,e_andong,false,,867,CK3 00_landed_titles.txt
b_FIC_Amur_Baihetudi,c_SW_nabeiguo,d_SW_qingxingan,k_shiwei,e_andong,false,,867,CK3 00_landed_titles.txt
b_FIC_Amur_Bailangtudi,c_SW_nabeiguo,d_SW_qingxingan,k_shiwei,e_andong,false,,867,CK3 00_landed_titles.txt
b_FIC_Amur_Beihelin,c_SW_heiheguo,d_SW_lingxiguo,k_shiwei,e_andong,true,first_barony_in_county_block,867,CK3 00_landed_titles.txt
b_FIC_Amur_Cangcao,c_SW_fancao,d_SW_sushenguo,k_shiwei,e_andong,false,,867,CK3 00_landed_titles.txt
b_FIC_Amur_Caoqiu,c_SW_huangtouguo,d_SW_qingxingan,k_shiwei,e_andong,false,,867,CK3 00_landed_titles.txt
b_FIC_Amur_Dahedu,c_BAL_west_cheolli,d_BAL_cheolli,k_luzhen,e_andong,true,first_barony_in_county_block,867,CK3 00_landed_titles.txt
b_FIC_Amur_Dalukou,c_SW_ruzhejiang,d_SW_ruzheguo,k_shiwei,e_andong,false,,867,CK3 00_landed_titles.txt
b_FIC_Amur_Dasenlin,c_SW_gonghejiang,d_SW_sushenguo,k_shiwei,e_andong,false,,867,CK3 00_landed_titles.txt
b_FIC_Amur_Dongweian,c_SW_shanbeiguo,d_SW_puyudao,k_shiwei,e_andong,false,,867,CK3 00_landed_titles.txt
b_FIC_Amur_Erliuyu,c_SW_fancao,d_SW_sushenguo,k_shiwei,e_andong,false,,867,CK3 00_landed_titles.txt
b_FIC_Amur_Fancao,c_SW_fancao,d_SW_sushenguo,k_shiwei,e_andong,true,first_barony_in_county_block,867,CK3 00_landed_titles.txt
b_FIC_Amur_Fanlinan,c_SW_dongruzhe,d_SW_ruzheguo,k_shiwei,e_andong,true,first_barony_in_county_block,867,CK3 00_landed_titles.txt
b_FIC_Amur_Fulunshan,c_SW_puyuzhou,d_SW_puyudao,k_shiwei,e_andong,false,,867,CK3 00_landed_titles.txt
b_FIC_Amur_Ganhejiang,c_SW_powoguo,d_SW_lingxiguo,k_shiwei,e_andong,false,,867,CK3 00_landed_titles.txt
b_FIC_Amur_Ganheyang,c_SW_huangtouguo,d_SW_qingxingan,k_shiwei,e_andong,false,,867,CK3 00_landed_titles.txt
b_FIC_Amur_Ganyijiang,c_SW_powoguo,d_SW_lingxiguo,k_shiwei,e_andong,false,,867,CK3 00_landed_titles.txt
b_FIC_Amur_Gaocaoer,c_SW_xingnabei,d_SW_qingxingan,k_shiwei,e_andong,false,,867,CK3 00_landed_titles.txt
b_FIC_Amur_Gonghejiang,c_SW_gonghejiang,d_SW_sushenguo,k_shiwei,e_andong,true,first_barony_in_county_block,867,CK3 00_landed_titles.txt
b_FIC_Amur_Haixidu,c_BAL_dazhou,d_BAL_hoewon,k_luzhen,e_andong,false,,867,CK3 00_landed_titles.txt
b_FIC_Amur_Heilonglin,c_SW_heilonglin,d_SW_sushenguo,k_shiwei,e_andong,true,first_barony_in_county_block,867,CK3 00_landed_titles.txt
b_FIC_Amur_Heisenlin,c_SW_heilonghean,d_SW_puyudao,k_shiwei,e_andong,true,first_barony_in_county_block,867,CK3 00_landed_titles.txt
b_FIC_Amur_Helincun,c_BAL_dazhou,d_BAL_hoewon,k_luzhen,e_andong,false,,867,CK3 00_landed_titles.txt
b_FIC_Amur_Henghetieli,c_BAL_west_cheolli,d_BAL_cheolli,k_luzhen,e_andong,false,,867,CK3 00_landed_titles.txt
